"University of California Statewide Integrated Pest Management Program"
"How to Manage Pests: California Weather Data"
"Retrieve data in comma delimited data file format"
" "
"Weather database request:  "
" "
"Time Period: January 1, 2015 to June 7, 2015, retrieved on June 8, 2015"
" (158 days)"
" "
"To save this text, you can:"
"Select SAVE AS and TEXT from the top menu of your browser, or"
"copy and paste the data to a new document in a word processor"
"and save it as text."
" "
"Note: Only 93% of requested data were available from station POMONA.A.    See Retrieval Table."
" "
"                     Retrieval Table"
"                     Stations used to fill in missing data"
" "
"                     Data Values  Data Values  Data Values  Data Values  Data Values"
"                        from         from         from         from        Missing"
"Variable             Station      Backup 1     Backup 2     Averages"
"Precipitation          147            0            0           11            0        "
"                     POMONA.A     CLARMONT.A   none         POMONA.A     "
"Air Temps, max/min     147            0            0           11            0        "
"                     POMONA.A     CLARMONT.A   none         POMONA.A     "
"Soil Temps, max/min    147            0            0           11            0        "
"                     POMONA.A     CLARMONT.A   none         CLARMONT.A   "
"Rel. Humidity          146            0            0            0           12        "
"                     POMONA.A     none         none         none         "
"ETo                    147            0            0            0           11        "
"                     POMONA.A     none         none         none         "
"Solar Radiation        145            0            0           13            0        "
"                     POMONA.A     CLARMONT.A   none         POMONA.A     "
"Wind Speed & Dir       147            0            0            0           11        "
"                     POMONA.A     none         none         none         "
" "
"Variable   Description                   Units"
"   1       Database name                 "
"   2       Date: year,month,day          yyyymmdd"
"   3       Observation time              hhmm"
"   4       Precipitation, amount         Inches"
"   5       Precipitation, type           (coded)"
"   6       Air temperature, maximum      Fahrenheit"
"   7       Air temperature, minimum      Fahrenheit"
"   8       Air temperature, observed     Fahrenheit"
"   9       Weather conditions            (coded)"
"  10       Wind, direction               N,NE,E,SE,S,SW,W,NW, 0=calm"
"  11       Wind, speed                   Miles per hour"
"  12       Bulb temperature, wet         Fahrenheit"
"  13       Bulb temperature, dry         Fahrenheit"
"  14       Soil temperature, maximum     Fahrenheit"
"  15       Soil temperature, minimum     Fahrenheit"
"  16       Pan evaporation               Inches"
"  17       Solar radiation               Langleys"
"  18       Reference evapotranspiration  Inches"
"  19       Relative humidity, minimum    Percent"
"  20       Relative humidity, maximum    Percent"
" "
"Station","Date","Time","Precip","type","Air max","min","obs","Wx","Wind dir","speed","Bulb wet","dry","Soil max","min","Evap","Solar","ETo","RH max","min"
POMONA.A,20150130,2359,0.00,,67,54,,,0,0,,,58,57,,156,0.04,93.0,50.0,
POMONA.A,20150131,2359,0.00,,71,49,,,0,0,,,58,57,,291,0.07,100.0,43.0,
POMONA.A,20150201,2359,0.00,,75,46,,,0,0,,,57,56,,340,0.09,98.0,29.0,
POMONA.A,20150202,2359,0.00,,80,49,,,0,0,,,57,56,,340,0.10,94.0,24.0,
POMONA.A,20150203,2359,0.00,,76,46,,,0,0,,,57,55,,334,0.09,97.0,34.0,
POMONA.A,20150204,2359,0.00,,76,46,,,0,0,,,57,56,,339,0.09,100.0,40.0,
POMONA.A,20150205,2359,0.00,,86,47,,,0,0,,,57,56,,359,0.10,100.0,19.0,
POMONA.A,20150206,2359,0.00,,77,47,,,0,0,,,58,56,,360,0.10,100.0,32.0,
POMONA.A,20150207,2359,0.02,,72,44,,,0,0,,,57,56,,251,0.06,100.0,45.0,
POMONA.A,20150208,2359,0.00,,76,54,,,0,0,,,59,57,,353,0.10,100.0,49.0,
POMONA.A,20150209,2359,0.00,,74,48,,,0,0,,,59,58,,362,0.10,100.0,44.0,
POMONA.A,20150210,2359,0.00,,80,47,,,0,0,,,59,57,,385,0.11,91.0,28.0,
POMONA.A,20150211,2359,0.00,,83,47,,,0,0,,,58,56,,371,0.13,64.0,14.0,
POMONA.A,20150212,2359,0.00,,83,50,,,0,0,,,58,56,,399,0.13,58.0,16.0,
POMONA.A,20150213,2359,0.00,,85,48,,,0,0,,,58,56,,401,0.13,56.0,15.0,
POMONA.A,20150214,2359,0.00,,84,51,,,0,0,,,58,56,,402,0.13,62.0,17.0,
POMONA.A,20150215,2359,0.00,,78,49,,,0,0,,,58,56,,401,0.12,82.0,29.0,
POMONA.A,20150216,2359,0.00,,73,44,,,0,0,,,58,56,,397,0.11,97.0,44.0,
POMONA.A,20150217,2359,0.00,,73,50,,,0,0,,,59,57,,366,0.10,97.0,51.0,
POMONA.A,20150218,2359,0.00,,75,47,,,0,0,,,59,57,,355,0.10,100.0,46.0,
POMONA.A,20150219,2359,0.00,,74,49,,,0,0,,,59,57,,378,0.10,100.0,46.0,
POMONA.A,20150220,2359,0.00,,69,49,,,0,0,,,59,58,,250,0.06,100.0,57.0,
POMONA.A,20150221,2359,0.00,,68,48,,,0,0,,,58,57,,277,0.07,99.0,55.0,
POMONA.A,20150222,2359,0.43,,60,50,,,0,0,,,58,58,,81,0.01,100.0,71.0,
POMONA.A,20150223,2359,0.04,,60,42,,,0,0,,,58,56,,177,0.03,,,
POMONA.A,20150224,2359,0.00,,72,38,,,0,0,,,57,55,,436,0.12,99.0,24.0,
POMONA.A,20150225,2359,0.00,,72,43,,,0,0,,,56,54,,441,0.12,93.0,36.0,
POMONA.A,20150226,2359,0.00,,70,45,,,0,0,,,56,54,,416,0.12,95.0,43.0,
POMONA.A,20150227,2359,0.01,,62,45,,,0,0,,,56,55,,157,0.03,100.0,66.0,
POMONA.A,20150228,2359,0.09,,63,48,,,0,0,,,56,56,,301,0.08,96.0,54.0,
POMONA.A,20150301,2359,0.01,,59,46,,,0,0,,,56,55,,242,0.06,99.0,61.0,
POMONA.A,20150302,2359,0.21,,59,42,,,0,0,,,56,55,,276,0.06,98.0,59.0,
POMONA.A,20150303,2359,0.00,,66,39,,,0,0,,,55,53,,450,0.12,97.0,39.0,
POMONA.A,20150304,2359,0.00,,71,41,,,0,0,,,55,53,,474,0.13,97.0,29.0,
POMONA.A,20150305,2359,0.00,,76,40,,,0,0,,,56,54,,497,0.14,80.0,17.0,
POMONA.A,20150306,2359,0.00,,83,38,,,0,0,,,57,54,,506,0.15,72.0,14.0,
POMONA.A,20150307,2359,0.00,,84,42,,,0,0,,,58,55,,500,0.16,65.0,13.0,
POMONA.A,20150308,2359,0.00,,76,47,,,0,0,,,59,56,,503,0.15,98.0,24.0,
POMONA.A,20150309,2359,0.00,,77,47,,,0,0,,,60,57,,473,0.14,100.0,38.0,
POMONA.A,20150310,2359,0.00,,83,44,,,0,0,,,60,58,,465,0.15,99.0,19.0,
POMONA.A,20150311,2359,0.00,,73,54,,,0,0,,,60,59,,186,0.07,84.0,38.0,
POMONA.A,20150312,2359,0.00,,86,49,,,0,0,,,61,59,,508,0.17,86.0,21.0,
POMONA.A,20150313,2359,0.00,,89,50,,,0,0,,,62,60,,519,0.17,66.0,16.0,
POMONA.A,20150314,2359,0.00,,91,52,,,0,0,,,63,61,,510,0.18,67.0,16.0,
POMONA.A,20150315,2359,0.00,,90,58,,,0,0,,,64,62,,470,0.18,52.0,17.0,
POMONA.A,20150316,2359,0.00,,89,55,,,0,0,,,64,62,,478,0.18,65.0,16.0,
POMONA.A,20150317,2359,0.00,,83,52,,,0,0,,,64,62,,489,0.16,80.0,22.0,
POMONA.A,20150318,2359,0.03,,73,47,,,,,,,60,57,,456,,,,
POMONA.A,20150319,2359,0.08,,73,47,,,,,,,60,57,,418,,,,
POMONA.A,20150320,2359,0.11,,72,48,,,,,,,60,57,,403,,,,
POMONA.A,20150321,2359,0.08,,71,47,,,,,,,60,57,,422,,,,
POMONA.A,20150322,2359,0.11,,71,46,,,,,,,60,57,,428,,,,
POMONA.A,20150323,2359,0.05,,69,46,,,,,,,60,57,,418,,,,
POMONA.A,20150324,2359,0.04,,69,46,,,,,,,60,57,,425,,,,
POMONA.A,20150325,2359,0.00,,86,47,,,0,0,,,65,62,,547,0.19,92.0,21.0,
POMONA.A,20150326,2359,0.00,,93,52,,,0,0,,,66,63,,561,0.20,64.0,14.0,
POMONA.A,20150327,2359,0.00,,92,54,,,0,0,,,66,64,,563,0.21,68.0,14.0,
POMONA.A,20150328,2359,0.00,,87,48,,,0,0,,,66,64,,580,0.19,87.0,21.0,
POMONA.A,20150329,2359,0.00,,85,49,,,0,0,,,66,64,,560,0.19,99.0,23.0,
POMONA.A,20150330,2359,0.00,,84,47,,,0,0,,,66,64,,575,0.19,95.0,34.0,
POMONA.A,20150331,2359,0.00,,78,49,,,0,0,,,66,64,,519,0.16,100.0,40.0,
POMONA.A,20150401,2359,0.00,,77,48,,,0,0,,,66,64,,532,0.16,99.0,40.0,
POMONA.A,20150402,2359,0.00,,76,44,,,0,0,,,66,63,,579,0.17,93.0,33.0,
POMONA.A,20150403,2359,0.00,,84,44,,,0,0,,,65,63,,590,0.20,77.0,9.0,
POMONA.A,20150404,2359,0.00,,83,49,,,0,0,,,66,63,,610,0.21,82.0,13.0,
POMONA.A,20150405,2359,0.00,,72,46,,,0,0,,,65,63,,590,0.17,97.0,44.0,
POMONA.A,20150406,2359,0.00,,67,43,,,0,0,,,65,63,,587,0.17,97.0,29.0,
POMONA.A,20150407,2359,0.20,,66,37,,,0,0,,,64,62,,407,0.11,98.0,39.0,
POMONA.A,20150408,2359,0.00,,70,42,,,0,0,,,63,61,,590,0.17,100.0,34.0,
POMONA.A,20150409,2359,0.00,,77,44,,,0,0,,,63,61,,615,0.19,91.0,20.0,
POMONA.A,20150410,2359,0.00,,74,44,,,0,0,,,64,61,,563,0.17,99.0,35.0,
POMONA.A,20150411,2359,0.00,,76,43,,,0,0,,,64,61,,604,0.18,98.0,37.0,
POMONA.A,20150412,2359,0.00,,80,45,,,0,0,,,65,62,,615,0.19,97.0,37.0,
POMONA.A,20150413,2359,0.00,,81,48,,,0,0,,,66,63,,608,0.19,100.0,41.0,
POMONA.A,20150414,2359,0.00,,78,49,,,0,0,,,66,64,,502,0.16,93.0,42.0,
POMONA.A,20150415,2359,0.00,,81,46,,,0,0,,,67,64,,620,0.20,96.0,15.0,
POMONA.A,20150416,2359,0.00,,81,45,,,0,0,,,66,64,,648,0.21,64.0,10.0,
POMONA.A,20150417,2359,0.00,,83,45,,,0,0,,,66,63,,643,0.22,66.0,15.0,
POMONA.A,20150418,2359,0.00,,81,47,,,0,0,,,66,63,,641,0.21,86.0,21.0,
POMONA.A,20150419,2359,0.00,,80,46,,,0,0,,,66,64,,611,0.20,94.0,31.0,
POMONA.A,20150420,2359,0.00,,74,51,,,0,0,,,66,64,,607,0.19,94.0,44.0,
POMONA.A,20150421,2359,0.00,,64,56,,,0,0,,,66,64,,172,0.04,83.0,57.0,
POMONA.A,20150422,2359,0.00,,68,51,,,0,0,,,65,64,,421,0.12,93.0,53.0,
POMONA.A,20150423,2359,0.00,,68,50,,,0,0,,,65,64,,308,0.09,94.0,54.0,
POMONA.A,20150424,2359,0.00,,63,53,,,0,0,,,64,63,,214,0.05,89.0,68.0,
POMONA.A,20150425,2359,0.28,,62,49,,,0,0,,,64,63,,149,0.03,97.0,64.0,
POMONA.A,20150426,2359,0.00,,74,45,,,0,0,,,64,62,,635,0.19,100.0,37.0,
POMONA.A,20150427,2359,0.00,,85,48,,,0,0,,,65,63,,668,0.23,92.0,18.0,
POMONA.A,20150428,2359,0.00,,92,52,,,0,0,,,66,63,,678,0.25,65.0,13.0,
POMONA.A,20150429,2359,0.00,,94,53,,,0,0,,,67,64,,642,0.25,71.0,14.0,
POMONA.A,20150430,2359,0.00,,92,54,,,0,0,,,68,65,,646,0.25,63.0,15.0,
POMONA.A,20150501,2359,0.00,,89,54,,,0,0,,,68,66,,646,0.24,75.0,17.0,
POMONA.A,20150502,2359,0.00,,86,53,,,0,0,,,68,66,,669,0.24,89.0,21.0,
POMONA.A,20150503,2359,0.00,,77,52,,,0,0,,,68,66,,601,0.19,95.0,49.0,
POMONA.A,20150504,2359,0.00,,73,53,,,0,0,,,67,66,,546,0.16,88.0,50.0,
POMONA.A,20150505,2359,0.00,,69,51,,,0,0,,,67,66,,407,0.12,85.0,51.0,
POMONA.A,20150506,2359,0.00,,66,51,,,0,0,,,66,65,,242,0.06,86.0,57.0,
POMONA.A,20150507,2359,0.15,,67,50,,,0,0,,,66,65,,433,0.13,91.0,50.0,
POMONA.A,20150508,2359,0.34,,62,47,,,0,0,,,65,63,,343,0.08,96.0,62.0,
POMONA.A,20150509,2359,0.00,,64,50,,,0,0,,,64,63,,289,0.07,96.0,64.0,
POMONA.A,20150510,2359,0.00,,79,47,,,0,0,,,65,63,,678,0.21,98.0,44.0,
POMONA.A,20150511,2359,0.00,,83,52,,,0,0,,,67,64,,659,0.22,97.0,34.0,
POMONA.A,20150512,2359,0.00,,74,52,,,0,0,,,67,65,,561,0.17,96.0,48.0,
POMONA.A,20150513,2359,0.00,,70,49,,,0,0,,,66,65,,542,0.16,94.0,43.0,
POMONA.A,20150514,2359,0.48,,64,52,,,0,0,,,66,65,,262,0.06,95.0,53.0,
POMONA.A,20150515,2359,0.04,,65,49,,,0,0,,,65,63,,377,0.10,99.0,59.0,
POMONA.A,20150516,2359,0.00,,69,50,,,0,0,,,65,63,,330,0.08,93.0,59.0,
POMONA.A,20150517,2359,0.00,,72,50,,,0,0,,,65,63,,525,0.15,98.0,55.0,
POMONA.A,20150518,2359,0.00,,71,50,,,0,0,,,65,64,,341,0.10,86.0,54.0,
POMONA.A,20150519,2359,0.00,,72,48,,,0,0,,,66,64,,564,0.17,96.0,52.0,
POMONA.A,20150520,2359,0.00,,74,52,,,0,0,,,66,64,,630,0.19,92.0,45.0,
POMONA.A,20150521,2359,0.00,,69,56,,,0,0,,,66,65,,500,0.11,82.0,51.0,
POMONA.A,20150522,2359,0.01,,64,54,,,0,0,,,65,64,,145,0.03,88.0,56.0,
POMONA.A,20150523,2359,0.00,,68,57,,,0,0,,,64,63,,186,0.04,88.0,60.0,
POMONA.A,20150524,2359,0.00,,68,54,,,0,0,,,65,63,,251,0.06,92.0,60.0,
POMONA.A,20150525,2359,0.00,,72,49,,,0,0,,,65,63,,368,0.10,97.0,59.0,
POMONA.A,20150526,2359,0.00,,74,59,,,0,0,,,66,64,,482,0.14,87.0,54.0,
POMONA.A,20150527,2359,0.00,,77,54,,,0,0,,,67,65,,515,0.15,90.0,51.0,
POMONA.A,20150528,2359,0.00,,81,50,,,0,0,,,68,65,,659,0.21,98.0,44.0,
POMONA.A,20150529,2359,0.00,,85,57,,,0,0,,,70,66,,660,0.22,95.0,41.0,
POMONA.A,20150530,2359,0.00,,86,56,,,0,0,,,71,67,,678,0.23,97.0,41.0,
POMONA.A,20150531,2359,0.00,,81,54,,,,,,,69,67,,593,,,,
POMONA.A,20150601,2359,0.00,,82,56,,,0,0,,,71,69,,639,0.21,92.0,38.0,
POMONA.A,20150602,2359,0.00,,80,52,,,0,0,,,71,68,,711,0.22,96.0,42.0,
POMONA.A,20150603,2359,0.00,,76,61,,,0,0,,,70,69,,378,0.10,89.0,55.0,
POMONA.A,20150604,2359,0.00,,70,60,,,0,0,,,70,69,,531,0.05,91.0,62.0,
POMONA.A,20150605,2359,0.00,,77,55,,,,,,,70,67,,498,,,,
POMONA.A,20150606,2359,0.00,,78,55,,,,,,,69,67,,539,,,,
POMONA.A,20150607,2359,0.00,,76,54,,,,,,,70,67,,522,,,,
